Position,R_Squared,Drill,Rounds,Slope
LB,0.00873,Broad Jump,1 to 3,-0.0604
LB,0.025,Shuttle,1 to 3,0.00261
LB,0.000828,3Cone,1 to 3,-0.000849
LB,0.0424,40 Yard Dash,4 to 7,0.00276
LB,0.0306,Bench Press,4 to 7,0.0996
LB,0.000174,Vertical Leap,4 to 7,-0.00436
LB,0.0269,Broad Jump,4 to 7,-0.105
LB,0.0000026,Shuttle,4 to 7,0.0000281
LB,0.00482,3Cone,4 to 7,0.00224
LB,0.0416,40 Yard Dash,Undrafted,0.00246
LB,0.0787,Bench Press,Undrafted,0.121
LB,0.000137,Vertical Leap,Undrafted,-0.00338
LB,0.0101,Broad Jump,Undrafted,-0.0528
LB,0.00675,Shuttle,Undrafted,0.00122
LB,0.00734,3Cone,Undrafted,-0.00239
FB,0.0721,40 Yard Dash,1 to 3,0.00315
FB,0.1945,Bench Press,1 to 3,0.276
FB,0.00241,Vertical Leap,1 to 3,0.015
FB,0.00312,Broad Jump,1 to 3,-0.0306
FB,0.00055,Shuttle,1 to 3,-0.000285
FB,0.31,3Cone,1 to 3,0.0212
FB,0.127,40 Yard Dash,4 to 7,0.00416
FB,0.0549,Bench Press,4 to 7,0.0991
FB,0.0556,Vertical Leap,4 to 7,-0.0507
FB,0.136,Broad Jump,4 to 7,-0.145
FB,0.072,Shuttle,4 to 7,0.00462
FB,0.0545,3Cone,4 to 7,0.00722
FB,0.163,40 Yard Dash,Undrafted,0.00387
FB,0.0724,Bench Press,Undrafted,0.101
FB,0.000103,Vertical Leap,Undrafted,0.0023
FB,0.0241,Broad Jump,Undrafted,-0.0659
FB,0.096,Shuttle,Undrafted,0.00405
FB,0.151,3Cone,Undrafted,0.01
